date,VRP(A) ,VRP(N),Mktrf,Beta,Beta(WLS),Beta*VRP,Pred,,,,
4/30/2011,0.000997,0.001576,0.029,-6.8541,-4.7988,0.004784404,-0.0127,,,,
5/31/2011,0.001581,0.001451,-0.0127,-9.4084,-9.5268,0.015061871,-0.0175,,,,
6/30/2011,0.002123,0.002021,-0.0175,-6.4238,-8.0116,0.017008627,-0.0236,,,,
7/31/2011,0.001894,0.0019,-0.0236,-7.1542,-7.292,0.013811048,-0.0599,,,,
8/31/2011,0.006289,0.002359,-0.0599,-0.0353,0.0096,-6.04E-05,-0.0759,,,,
9/30/2011,0.007494,0.006389,-0.0759,-4.4642,-4.4746,0.033532652,0.1135,,,,
10/31/2011,0.00558,0.005235,0.1135,-1.285,-1.5627,0.008719866,-0.0028,,,,
11/30/2011,0.005995,0.005391,-0.0028,-2.5977,-2.8331,0.016984435,0.0074,,,,
12/31/2011,0.003139,0.003763,0.0074,3.0586,-5.5088,0.017292123,0.0505,,,,
1/31/2012,0.001868,0.002471,0.0505,4.4171,3.0533,-0.005703564,0.0442,,,,
2/29/2012,0.001462,0.002176,0.0442,-9.3189,-9.5706,0.013992217,0.0311,,,,
3/31/2012,0.000902,0.001754,0.0311,-7.3202,-5.6014,0.005052463,-0.0085,,,,
4/30/2012,0.001257,0.001768,-0.0085,-8.8725,-8.7227,0.010964434,-0.0619,,,,
5/31/2012,0.002153,0.002537,-0.0619,-4.1876,-3.6869,0.007937896,0.0389,,,,
6/30/2012,0.002049,0.002513,0.0389,-6.8119,-6.8438,0.014022946,0.0079,,,,
7/31/2012,0.001186,0.001583,0.0079,-2.6963,-5.3063,0.006293272,0.0255,,,,
8/31/2012,0.001317,0.001629,0.0255,-2.9069,-4.2487,0.005595538,0.0273,,,,
9/30/2012,0.001445,0.001272,0.0273,5.0831,3.9662,-0.005731159,-0.0176,,,,
10/31/2012,0.0016,0.001479,-0.0176,-7.9014,-8.0224,0.01283584,0.0078,,,,
11/30/2012,0.001504,0.001292,0.0078,-6.9638,-6.0155,0.009047312,0.0118,,,,
12/31/2012,0.001851,0.001665,0.0118,2.5112,2.4363,-0.004509591,0.0557,,,,
1/31/2013,0.000868,0.001101,0.0557,10.9431,10.4719,-0.009089609,0.0129,,,,
